Area,Item,Unit,Value
Worldwide,"Abaca, manila hemp, raw",(USD/kg),1.2
Worldwide,"Agave fibres, raw, n.e.c.",(USD/kg),0.76
Worldwide,"Almonds, in shell",(USD/kg),2.05
Worldwide,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",(USD/kg),1.73
Worldwide,Apples,(USD/kg),1.05
Worldwide,Apricots,(USD/kg),1.62
Worldwide,Areca nuts,(USD/kg),1.28
Worldwide,Artichokes,(USD/kg),1.75
Worldwide,Asparagus,(USD/kg),2.34
Worldwide,Avocados,(USD/kg),1.26
Worldwide,Bananas,(USD/kg),0.85
Worldwide,Bananas cavendish,(USD/kg),1.23
Worldwide,Barley,(USD/kg),0.82
Worldwide,"Beans, dry",(USD/kg),1.32
Worldwide,Beeswax,(USD/kg),4.29
Worldwide,Blueberries,(USD/kg),3.29
Worldwide,"Brazil nuts, in shell",(USD/kg),0.97
Worldwide,"Broad beans and horse beans, dry",(USD/kg),0.97
Worldwide,"Broad beans and horse beans, green",(USD/kg),0.75
Worldwide,Buckwheat,(USD/kg),0.61
Worldwide,Cabbages,(USD/kg),0.68
Worldwide,Canary seed,(USD/kg),0.5
Worldwide,Cantaloupes and other melons,(USD/kg),0.76
Worldwide,Carrots and turnips,(USD/kg),0.94
Worldwide,"Cashew nuts, in shell",(USD/kg),0.65
Worldwide,"Cassava, fresh",(USD/kg),1.09
Worldwide,Castor oil seeds,(USD/kg),7.69
Worldwide,Cauliflowers and broccoli,(USD/kg),1.7
Worldwide,Cereals n.e.c.,(USD/kg),0.92
Worldwide,Cherries,(USD/kg),2.43
Worldwide,"Chestnuts, in shell",(USD/kg),2.03
Worldwide,"Chick peas, dry",(USD/kg),1.04
Worldwide,Chicory roots,(USD/kg),0.54
Worldwide,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",(USD/kg),2.08
Worldwide,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",(USD/kg),2.06
Worldwide,"Cinnamon and cinnamon-tree flowers, raw",(USD/kg),6.44
Worldwide,"Cloves (whole stems), raw",(USD/kg),2.39
Worldwide,Cocoa beans,(USD/kg),1.51
Worldwide,"Coconuts, in shell",(USD/kg),1.44
Worldwide,"Coffee, green",(USD/kg),3.56
Worldwide,Cooking bananas,(USD/kg),2.06
Worldwide,"Cotton lint, ginned",(USD/kg),3.32
Worldwide,Cotton seed,(USD/kg),0.56
Worldwide,"Cow peas, dry",(USD/kg),1.23
Worldwide,Cranberries,(USD/kg),1.78
Worldwide,Cucumbers and gherkins,(USD/kg),1.25
Worldwide,Currants,(USD/kg),2.63
Worldwide,Dates,(USD/kg),1.44
Worldwide,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",(USD/kg),1.92
Worldwide,Eggplants (aubergines),(USD/kg),1.22
Worldwide,"Eggs from other birds in shell, fresh, n.e.c.",(USD/kg),3.18
Worldwide,Figs,(USD/kg),1.6
Worldwide,"Flax, processed but not spun",(USD/kg),0.9
Worldwide,Fonio,(USD/kg),0.8
Worldwide,"Game meat, fresh, chilled or frozen",(USD/kg),1.98
Worldwide,"Ginger, raw",(USD/kg),2.29
Worldwide,Gooseberries,(USD/kg),3.37
Worldwide,Grapes,(USD/kg),1.3
Worldwide,Green corn (maize),(USD/kg),2.79
Worldwide,Green garlic,(USD/kg),2.12
Worldwide,"Groundnuts, excluding shelled",(USD/kg),1.61
Worldwide,"Hazelnuts, in shell",(USD/kg),2.27
