activity_id,unit_type,co2e_kg,co2e_unit,gas_co2e_total,gas_co2e_other,gas_co2,gas_ch4,gas_n2o,name,id,access_type,source,source_dataset,year,category,source_lca_activity,data_quality_flags
arable_farming-type_fresh_fruits_tree_nuts,Money,16.51,kg,,0.03,6.79,0.03,0.03,Fresh fruits and tree nuts,fe80f01b-2605-4718-af00-f7e139429bef,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
arable_farming-type_fresh_soybeans_canola_flaxseeds_other_oilseeds,Money,43.72,kg,,0.04,16.09,0.15,0.08,Fresh soybeans/canola/flaxseeds and other oilseeds,04949c95-47ec-427e-aac4-4f5cdb2aa485,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
arable_farming-type_fresh_vegetables_melons_potatoes,Money,6.18,kg,,0.03,2.92,0.01,0.01,Fresh vegetables/melons and potatoes,ff875324-69f4-400c-aa91-de9748527ed8,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
arable_farming-type_fresh_wheat_corn_rice_other_grains,Money,18.04,kg,,0.04,7.31,0.07,0.03,Fresh wheat/corn/rice and other grains,09f68459-8972-4f00-8309-13f30844f661,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
arable_farming-type_greenhouse_crops_mushrooms_nurseries_flowers,Money,10.66,kg,,0.02,7.16,0.02,0.01,Greenhouse crops/mushrooms/nurseries and flowers,0d743f09-28ec-42c9-b799-d773b86fda8c,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
arable_farming-type_tobacco_cotton_sugarcane_peanuts_sugar_beets_herbs_spices_other_crops,Money,16.44,kg,,0.03,6.72,0.03,0.03,Tobacco/cotton/sugarcane/peanuts/sugar beets/herbs and spices and other crops,7def2d2b-d9d2-4109-ba87-e1496fa223f7,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_alcoholic_beverages,Money,5.29,kg,5.29,,2.452,,,Alcoholic beverages,cbfb7b4c-b3f1-445f-b5e9-8dcf0e12e7b7,public,BEIS,UK and England's carbon footprint to 2021,2021,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_alcoholic_beverages_for_immediate_consumption,Money,7.007,kg,7.007,0.08292,4.723,0.05281,0.002287,Alcoholic beverages for immediate consumption,3460578c-c87d-42a9-8785-6fa5eb1a0a07,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_alcoholic_beverages_nec,Money,3.266,kg,3.266,,,,,Alcoholic beverages nec,bace2ffb-71d8-43a1-a63d-967f68085a78,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_alcoholic_drinks,Money,0.6035,kg,0.6035,,,,,Alcoholic drinks,cd60c686-c443-4461-9bd5-464aee9ae857,public,BEIS,UK full dataset including conversion factors by COICOP code (archived),2018,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_all_other_foods,Money,4.4,kg,,0.05,3.35,0.04,0.0,All other foods,086a4fe8-84af-4fb6-8afd-a75a46a76f99,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_all_other_miscellaneous_food,Money,4.01,kg,4.01,,1.87,0.0239,0.00542,All other miscellaneous food manufacturing,45c8fc7c-f93a-42a3-9ff1-d3eb1e1d0370,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_all_other_specialty_food_stores,Money,1.86,kg,1.86,,1.58,0.00498,0.000428,All other specialty food stores,beca5aad-57c8-40d1-8233-bcb4a5ba60d2,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_almonds_ldpe_bag-origin_region_multi_region,Weight,-2.02,kg,-2.02,,,,,Almonds LDPE bag,cc16a191-6a93-465e-8bd9-7989e2114a41,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_animal_except_poultry_slaughtering,Money,11.2,kg,11.2,,1.88,0.203,0.0136,Animal (except poultry) slaughtering,03f25367-b181-487e-b9ba-d22f2ed73f6a,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_apples_and_pears_fresh_or_chilled,Money,5.544,kg,5.544,,,,,Apples and pears (fresh or chilled),fc77a655-78b2-4c27-80cd-5a53b84b9045,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_artichoke_hearts_ldpe_bag-origin_region_multi_region,Weight,15.11,kg,15.11,,,,,Artichoke hearts LDPE bag,9f43c414-995e-4f17-b516-133950b3b690,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_avocados_ldpe_bag-origin_region_multi_region,Weight,16.15,kg,16.15,,,,,Avocados LDPE bag,0517f518-480f-49f8-b6b1-6299c63a7767,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_baby_and_invalid_food,Money,4.758,kg,4.758,,,,,Baby and invalid food,d0b1d16f-d2f6-4c92-8c8e-2c0feb073a66,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bacon_ham_and_smallgood_products,Money,20.94,kg,20.94,,,,,Bacon/ham and smallgood products,9eac81ba-1f84-4029-8745-5288e95de83b,public,Market Economics Limited,Consumption emissions modelling - Cons EF 199 SUT,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bacon_pe_tray_with_pe_film-origin_region_multi_region,Weight,142.8,kg,142.8,,,,,Bacon PE tray with PE film,79bae458-1739-44b6-bd24-83d8d571b165,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_baked_beans-origin_region_uk,Weight,16.83,kg,16.83,,,,,Baked beans,dfe5f068-fc1a-4316-90b7-fe6003a71b3a,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_baked_beans-origin_region_uk_import_market_mix,Weight,23.86,kg,23.86,,,,,Baked beans,72e429eb-331f-48b1-a33a-0d6d7a022e89,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_baked_beans_aluminium_tin-origin_region_multi_region,Weight,30.35,kg,30.35,,,,,Baked beans aluminium tin,d90f36e7-6043-4dc7-9e92-cfb0e9acf7a6,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_baked_goods_stores,Money,1.86,kg,1.86,,1.58,0.00498,0.000428,Baked goods stores,8ce69cc6-37b6-44d1-87f1-644d003dfdea,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_baked_goods_sweet,Money,5.099,kg,5.099,,,,,Baked goods (sweet),3fca60d5-50a8-4463-aded-113077fc884c,public,BEIS,UK full dataset including conversion factors by COICOP code (archived),2018,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bakery_and_farinaceous_products,Money,4.118,kg,4.118,,2.122,,,Bakery and farinaceous products,87f62b0e-89a7-46eb-abce-8f1fc2e74d30,public,BEIS,UK and England's carbon footprint to 2021,2021,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bakery_products,Money,4.567,kg,4.567,,,,,Bakery products,797f85c6-2861-41c5-8fdf-651ea3ef467b,public,Market Economics Limited,Consumption emissions modelling - Cons EF 199 SUT,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bananas,Weight,3.92,kg,3.92,,2.09,0.002,0.0066,Bananas,ab4c11b5-e38a-406d-adfb-af64e1d23841,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_bananas_fresh_or_chilled,Money,6.312,kg,6.312,,,,,Bananas (fresh or chilled),86d3c352-33e8-42f2-84ef-6ced2a4be68d,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bananas_ldpe_bag-origin_region_multi_region,Weight,5.171,kg,5.171,,,,,Bananas LDPE bag,40e4aadb-bfbc-4f98-8a9d-57e87bb042a9,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_barbecue_sauce_glass_jar_with_aluminium_lid-origin_region_multi_region,Weight,28.49,kg,28.49,,,,,Barbecue sauce glass jar with aluminium lid,7319d945-3af7-43c8-ad13-65fe68f773b5,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_basa_pe_tray_with_pe_film-origin_region_multi_region,Weight,74.63,kg,74.63,,,,,Basa PE tray with PE film,1e9007be-73c2-4ab5-a0f3-8d7aeb0d7efc,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_beans_pinto_usa_dried-origin_region_multi_region,Weight,7.3,kg,7.3,,,,,Beans pinto USA dried,7f95ec37-7390-4767-943b-150f7f262aa5,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2015,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_beef_burgers_pe_tray_with_pe_film-origin_region_multi_region,Weight,245.8,kg,245.8,,,,,Beef burgers PE tray with PE film,4d8cf780-1912-4e54-8be9-0bb851d0ff42,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_beef_pe_tray_with_pe_film-origin_region_multi_region,Weight,338.5,kg,338.5,,,,,Beef PE tray with PE film,8a78406c-6004-426e-bb74-9ad44c1283ee,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_beer,Money,5.177,kg,5.177,0.0875,4.424,0.01493,0.0007958,Beer,5baf015e-86d3-4b60-bbbc-544549a376ad,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_beer_consumed_off_licensed_premises,Money,4.711,kg,4.711,,,,,Beer consumed off licensed premises,48a8126c-b64a-46ac-af9c-c57bf2e6f1a1,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
