Organization Name,Contact,FLO ID,Function,Country,Product Type
PRASANNA GANAPATHI FARMERS FOUNDATION,"Kolegodu, Agalagandi Post, Koppa, Chikamagalore, 577139, India",29273,Producer,India,Coffee (Robusta)
"00Twins Love Brands, LLC","1555 Bonaventure Blvd, Suite 1003, Weston, 33326, United States",47652,"Trader, Trader that is also a Manufacturer/Processor",United States,Cocoa (Cocoa)
12237491 Canada Inc.,"97 Gatineau ave, Gatineau, J8Z 3N1, Canada",43475,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
28lots GmbH,"Schnirchgasse 9-11, Wien, 1030, Austria",46634,"Trader, Trader that is also a Manufacturer/Processor",Austria,Cocoa (Cocoa)
3T Treats Spółka z o.o.,"ul. Olszankowa 49, Legionowo, 05-120, Poland",36881,Trader,Poland,Cocoa (Cocoa)
529 LOGISTICS B.V.,"ABC WESTLAND 529, POELDIJK, 2685 DG, Netherlands",48282,"Trader, Importer, Licensee",Netherlands,"Banana (Baby banana), Fresh fruit (Avocados, Limes, Mangoes, Papaya, Passion Fruit, Physalis)"
A Clean Spirit ApS,"Haubergsvej 1, Odense C, 5000, Denmark",47239,"Trader, Importer",Denmark,Cane sugar (Cane sugar secondary product)
A Genovese & Sons Pty Ltd,"51 Noreland RD, Melbourne, 3058, Australia",18708,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Australia,Coffee (Not specified)
A SHARMA & A SHARMA & N SHARMA & R SHARMA T/AS: SereniTEA,"26A Mologa Road, Heidelberg West, 3081, Australia",22713,"Trader, Importer, Licensee",Australia,"Herbs, herbal teas & spices (Camomile (Matricaria recutita, Anthemis nobilis), Mint (Mentha species)), Tea (Camellia sinensis)"
A&A Chocolaterie,"Mosten 16, Lokeren, 9160, Belgium",35769,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
A&D Nürnberger Feinbackwaren GmbH,"Thoner Weg 23, Nürnberg, 90425, Germany",36950,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa), Oilseeds and Oleaginous fruit (Coconut)"
A&D SANCHEZ ADSANCOCOA S.A.,"Km 1 Vía Puebloviejo - Ventanas, Ventanas, Ecuador",35329,"Trader, Exporter",Ecuador,Cocoa (Cocoa)
A. Gandola & C. SpA,"SS. 11 n.312, Calcinato, 25011, Italy",4209,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Italy,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Honey (Not specified), Nuts (Brazil Nut)"
A. Tosh Ishimitsu Beverages India Private Limited,"Godown No.1, SF 318/24, D.No.2/627-4, Sokkanur Road, Vadapudur, Kinathukadavu, Coimbatore, 642109, India",48096,"Trader, Trader that is also a Manufacturer/Processor, Exporter",India,Tea (Camellia sinensis)
A. van Weely BV,"Bijdorp 2 1181MZ, Amstelveen, 1180 AN, Netherlands",1000,"Trader, Importer",Netherlands,Coffee (Not specified)
A.Baas Potplantenkwekerij BV,"Enserweg 4, Ens, 8307 PL, Netherlands",49127,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,Flowers and Plants (Young Plant Material for Plants)
A.D.A. srl - Caffé Mokarico,"VIA DEL BAGNONE 24, BORGO SAN LORENZO (FI), 50032, Italy",49354,"Trader, Trader that is also a Manufacturer/Processor",Italy,"Coffee (Arabica, Robusta)"
AAA Growers Limited,"Head office: Sadani House, Riverside Lane, Riverside Drive, Nairobi, Kenya",35330,Producer,Kenya,Flowers and Plants (Cut Flowers)
AAFS - Associação dos Agricultores Familiares Sustentaveis,"São José Operário, Av Rio Grande do Sul Nro 3520, Capanema, 65710-000 - Paraná, Brazil",26223,Producer,Brazil,Oilseeds and Oleaginous fruit (Soybeans)
AB Apparels Ltd.,"225, Singair Road, Hameyetpur. Savar., Dhaka, 1340, Bangladesh",47982,"Trader, Trader that is also a Manufacturer/Processor, Importer",Bangladesh,Cotton (Seed Cotton)
"AB Azucarera Iberia, S.L.","Poligono Industrial El Portal,150, Jerez de la Frontera, 11408, Spain",22624,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Spain,Cane sugar (Cane sugar)
