Product,Quality,Form,Country / Region,Producer Scope,Price level (INCOTERMS),Quantity / Unit,Currency,Fairtrade minimum price,Fairtrade premium,Date of validity,Specific Product Standard,Product Specific Information
Acai,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Acai,Organic,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Almond,Conventional,shelled,Worldwide,SPO,EXW,1 kg,USD,Commercial price,0.95,19/09/2011,Nuts,
Almond,Organic,shelled,Worldwide,SPO,EXW,1 kg,USD,Commercial price,0.95,19/09/2011,Nuts,
Amaranth,Conventional,grain,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,1/12/2016,Cereals,
Amaranth,Organic,grain,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,1/12/2016,Cereals,
Apple,Conventional,,South America,SPO / HL,EXW,1 kg,USD,0.5,0.08,28/09/2009,Fresh Fruit,
Apple,Organic,,South America,SPO / HL,FOB,1 kg,USD,0.63,0.08,10/2/2010,Fresh Fruit,
Apricot,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,15/10/2013,Fresh Fruit,
Apricot,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,15/10/2013,Fresh Fruit,
Araza,Organic,pulp,Costa Rica,SPO / HL,FOB,1 kg,USD,1.61,0.32,12/7/2006,Prepared and Preserved Fruit & Vegetables,
Argan Oil,Conventional,,Worldwide,SPO,EXW,1 litres,EUR,Commercial price,15% of the commercial price,14/10/2022,Oilseeds and Oleaginous fruit,
Argan Oil,Organic,,Worldwide,SPO,EXW,1 litres,EUR,Commercial price,15% of the commercial price,14/10/2022,Oilseeds and Oleaginous fruit,
Artichoke,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Artichoke,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Asparagus,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Asparagus,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Avocado,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,1.04,0.12,15/09/2010,Fresh Fruit,All varieties;
Avocado,Organic,,Worldwide,SPO / HL,FOB,1 kg,USD,1.65,0.12,15/09/2010,Fresh Fruit,All varieties;
Baby Banana - coastal,Conventional,Fresh,Worldwide,SPO / HL,EXW,1 kg,USD,0.53,0.15,18/11/2011,Fresh Fruit,diploid; below altitude of 800 meters above sea level;
Baby Banana - coastal,Organic,Fresh,Worldwide,SPO / HL,EXW,1 kg,USD,0.7,0.15,18/11/2011,Fresh Fruit,diploid; below altitude of 800 meters above sea level;
Baby corn,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Baby corn,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/6/2013,Vegetables,
Banana,Conventional,Fresh,Colombia,SPO / HL,FOB S.Marta/Turbo,18.14 kg,USD,11.55,1,From 01/01/2025 until 31/12/2025,Fresh Fruit,
Banana,Organic,Fresh,Colombia,SPO / HL,FOB S.Marta,18.14 kg,USD,13.9,1,From 01/01/2025 until 31/12/2025,Fresh Fruit,
Baobab,Conventional,for processing,Africa,SPO,EXW,1 kg,USD,Commercial price,0.05,15/07/2010,Fresh Fruit,
Baobab,Organic,for processing,Africa,SPO,EXW,1 kg,USD,Commercial price,0.05,15/07/2010,Fresh Fruit,
Beet,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Beet,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Blackcurrant,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,4/9/2013,Fresh Fruit,
Blackcurrant,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,4/9/2013,Fresh Fruit,
Blueberry,Conventional,,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.75,15/07/2010,Fresh Fruit,
Blueberry,Organic,,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.75,15/07/2010,Fresh Fruit,
Brazil Nut,Conventional,broken (half kernel); processed: outer pod and individual shells removed,Worldwide,SPO,FOB,1 pound,USD,Commercial price,15% of the commercial price,6/5/2024,Nuts,
Brazil Nut,Organic,broken (half kernel); processed: outer pod and individual shells removed,Worldwide,SPO,FOB,1 pound,USD,Commercial price,15% of the commercial price,6/5/2024,Nuts,
Broccoli,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Broccoli,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Brussel sprouts,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Brussel sprouts,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Cabbage (any edible Brassica known as Cabbage),Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Cabbage (any edible Brassica known as Cabbage),Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Camellia,Conventional,,Worldwide,SPO / HL,,1 kg,,Commercial price,15% of the commercial price,21/12/2020,Tea,Instant tea; instant tea processed from made tea from Fairtrade certified producers
Camellia,Organic,,Worldwide,SPO / HL,,1 kg,,Commercial price,10% of the commercial price,21/12/2020,Tea,Instant tea; instant tea processed from made tea from Fairtrade certified producers
Camomile,Conventional,,Worldwide,HL,,1 kg,EUR,Commercial price,0.5,before 2004,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Camomile,Organic,,Worldwide,HL,,1 kg,EUR,Commercial price,0.5,before 2004,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Cane sugar,Conventional,Raw sugar (for direct consumption),Worldwide,SPO,FOB,1 MT,USD,Commercial price,60,1/10/2009,Cane sugar,
Carambola (Starfruit),Conventional,pulp,Worldwide,SPO / HL,FOB,1 kg,,Commercial price,15% of the commercial price,11/4/2013,Prepared and Preserved Fruit & Vegetables,
Carambola (Starfruit),Organic,pulp,Worldwide,SPO / HL,FOB,1 kg,,Commercial price,15% of the commercial price,11/4/2013,Prepared and Preserved Fruit & Vegetables,
